location,fire_age4,fire_age3,fire_age2,fire_age1,fire_age0,Herbs,Shrub,Treed broadleaf,Treed conifer,Treed mixed,Water,Bryoid,Rock,year,week,n_days_effort,Barren-ground Caribou,gray_wolf,grizzly_bear,Muskox,camera,cluster,elevation,esker_camera_distances
BIO-TDN-004-01,1,0,0,0,0,0.0707070707070707,0.013468013468013467,0.010101010101010102,0.696969696969697,0.006734006734006734,0.20202020202020202,0,0,2022,25,7,0,0,0,0,01,BIO-TDN-004,325.2384948730469,8582.4091796875
BIO-TDN-004-01,1,0,0,0,0,0.0707070707070707,0.013468013468013467,0.010101010101010102,0.696969696969697,0.006734006734006734,0.20202020202020202,0,0,2022,26,7,0,0,0,0,01,BIO-TDN-004,325.2384948730469,8582.4091796875
BIO-TDN-004-01,1,0,0,0,0,0.0707070707070707,0.013468013468013467,0.010101010101010102,0.696969696969697,0.006734006734006734,0.20202020202020202,0,0,2022,27,7,0,0,0,0,01,BIO-TDN-004,325.2384948730469,8582.4091796875
BIO-TDN-004-01,1,0,0,0,0,0.0707070707070707,0.013468013468013467,0.010101010101010102,0.696969696969697,0.006734006734006734,0.20202020202020202,0,0,2022,28,7,0,0,0,0,01,BIO-TDN-004,325.2384948730469,8582.4091796875
BIO-TDN-004-01,1,0,0,0,0,0.0707070707070707,0.013468013468013467,0.010101010101010102,0.696969696969697,0.006734006734006734,0.20202020202020202,0,0,2022,29,7,0,0,0,0,01,BIO-TDN-004,325.2384948730469,8582.4091796875
BIO-TDN-004-01,1,0,0,0,0,0.0707070707070707,0.013468013468013467,0.010101010101010102,0.696969696969697,0.006734006734006734,0.20202020202020202,0,0,2022,30,7,0,0,0,0,01,BIO-TDN-004,325.2384948730469,8582.4091796875
BIO-TDN-004-01,1,0,0,0,0,0.0707070707070707,0.013468013468013467,0.010101010101010102,0.696969696969697,0.006734006734006734,0.20202020202020202,0,0,2022,31,7,0,0,0,0,01,BIO-TDN-004,325.2384948730469,8582.4091796875
BIO-TDN-004-01,1,0,0,0,0,0.0707070707070707,0.013468013468013467,0.010101010101010102,0.696969696969697,0.006734006734006734,0.20202020202020202,0,0,2022,23,7,0,0,0,0,01,BIO-TDN-004,325.2384948730469,8582.4091796875
BIO-TDN-004-01,1,0,0,0,0,0.0707070707070707,0.013468013468013467,0.010101010101010102,0.696969696969697,0.006734006734006734,0.20202020202020202,0,0,2022,24,7,0,0,0,0,01,BIO-TDN-004,325.2384948730469,8582.4091796875
BIO-TDN-004-01,1,0,0,0,0,0.0707070707070707,0.013468013468013467,0.010101010101010102,0.696969696969697,0.006734006734006734,0.20202020202020202,0,0,2021,49,7,0,0,0,0,01,BIO-TDN-004,325.2384948730469,8582.4091796875
BIO-TDN-004-01,1,0,0,0,0,0.0707070707070707,0.013468013468013467,0.010101010101010102,0.696969696969697,0.006734006734006734,0.20202020202020202,0,0,2021,50,7,0,0,0,0,01,BIO-TDN-004,325.2384948730469,8582.4091796875
